,zipcode,month,year,totalcustomers_elec,totalkwh,class_factor,combined_factor,num_farmers,num_residents,num_workers,num_officers,totalcustomers_gas,totalthm,gas_residential,gas_commercial
175,93905,2,2013,517,2278540,1,1,,,,517.0,,,,
176,93905,3,2013,540,2997028,1,1,,,,540.0,319.0,92235.0,,92235.0
177,93906,2,2013,614,5198088,1,1,,,,614.0,,,,
178,93906,3,2013,624,6044268,1,1,,,,624.0,,,,
179,93907,1,2013,1217,4940239,1,0,,,,1217.0,,,,
180,93907,3,2013,926,3832882,1,0,,,,926.0,,,,
181,93921,1,2013,313,748296,1,1,,,,313.0,91.0,46513.0,,46513.0
182,93921,2,2013,316,807145,1,1,,,,316.0,91.0,42968.0,,42968.0
183,93921,3,2013,317,896606,1,1,,,,317.0,90.0,42828.0,,42828.0
184,93923,2,2013,1163,4663956,1,0,,,,1163.0,,,,
185,93923,3,2013,1168,5384318,1,0,,,,1168.0,333.0,94201.0,,94201.0
186,93926,2,2013,212,554648,1,0,,,,212.0,,,,
187,93926,3,2013,215,830992,1,0,,,,215.0,74.0,9700.0,,9700.0
188,93927,2,2013,299,885732,1,0,,,,299.0,,,,
189,93927,3,2013,301,986182,1,0,,,,301.0,,,,
190,93930,2,2013,400,1621925,1,0,,,,400.0,273.0,89400.0,,89400.0
191,93930,3,2013,403,1940239,1,0,,,,403.0,610.0,159532.0,,159532.0
192,93933,1,2013,391,1887010,1,1,,,,391.0,251.0,68697.0,,68697.0
193,93933,2,2013,406,1870332,1,1,,,,406.0,254.0,60628.0,,60628.0
194,93933,3,2013,433,2577611,1,1,,,,433.0,257.0,54675.0,,54675.0
195,93940,1,2013,2676,16044900,1,0,,,,2676.0,1600.0,985369.0,,985369.0
196,93940,2,2013,2771,15659771,1,0,,,,2771.0,1160.0,655823.0,,655823.0
197,93940,3,2013,2156,15405519,1,0,,,,2156.0,1165.0,641971.0,,641971.0
198,93955,3,2013,722,3806978,1,1,,,,722.0,444.0,114772.0,,114772.0
199,94002,1,2013,672,4264127,1,1,,,,672.0,432.0,142485.0,,142485.0
200,94002,2,2013,667,3784239,1,1,,,,667.0,431.0,110885.0,,110885.0
201,94002,3,2013,673,4099294,1,1,,,,673.0,433.0,98692.0,,98692.0
202,94010,1,2013,1597,13268549,1,0,,,,1597.0,,,,
203,94010,2,2013,1599,12137520,1,0,,,,1599.0,,,,
204,94010,3,2013,1602,13316157,1,0,,,,1602.0,,,,
205,94014,1,2013,712,5696783,1,1,,,,712.0,347.0,147304.0,,147304.0
206,94014,2,2013,713,5134970,1,1,,,,713.0,348.0,119429.0,,119429.0
207,94014,3,2013,720,5696022,1,1,,,,720.0,350.0,116995.0,,116995.0
208,94015,1,2013,439,5587655,1,1,,,,439.0,,,,
209,94015,2,2013,441,4981805,1,1,,,,441.0,252.0,200215.0,,200215.0
210,94015,3,2013,442,5496431,1,1,,,,442.0,250.0,203612.0,,203612.0
211,94025,1,2013,1254,16943077,1,0,,,,1254.0,818.0,785229.0,,785229.0
212,94025,2,2013,1261,15469666,1,0,,,,1261.0,841.0,692411.0,,692411.0
213,94025,3,2013,1273,17121052,1,0,,,,1273.0,844.0,544537.0,,544537.0
214,94043,1,2013,2392,42618078,1,0,,,,2392.0,1636.0,1458260.0,,1458260.0
215,94043,2,2013,2602,40885319,1,0,,,,2602.0,1637.0,1140511.0,,1140511.0
216,94043,3,2013,2075,32522028,1,0,,,,2075.0,1640.0,913386.0,,913386.0
217,94044,1,2013,562,2638306,1,0,,,,562.0,261.0,86318.0,,86318.0
218,94044,2,2013,567,2341803,1,0,,,,567.0,263.0,73716.0,,73716.0
219,94044,3,2013,567,2583929,1,0,,,,567.0,276.0,75210.0,,75210.0
220,94060,1,2013,118,213319,1,0,,,,118.0,,,,
221,94060,2,2013,118,184295,1,0,,,,118.0,,,,
222,94060,3,2013,116,224165,1,0,,,,116.0,,,,
223,94061,1,2013,346,1929954,1,1,,,,346.0,,,,
224,94061,2,2013,349,1727520,1,1,,,,349.0,,,,
225,94061,3,2013,358,1879536,1,1,,,,358.0,,,,
226,94063,1,2013,1599,18738894,1,1,,,,1599.0,1052.0,561473.0,,561473.0
227,94063,2,2013,1611,16945329,1,1,,,,1611.0,1058.0,433425.0,,433425.0
228,94063,3,2013,1615,18980134,1,1,,,,1615.0,1069.0,364890.0,,364890.0
229,94070,1,2013,1459,7006230,1,1,,,,1459.0,976.0,312535.0,,312535.0
230,94070,2,2013,1468,6264220,1,1,,,,1468.0,986.0,231152.0,,231152.0
231,94070,3,2013,1470,6872469,1,1,,,,1470.0,985.0,189325.0,,189325.0
232,94080,1,2013,2590,40998476,1,0,,,,2590.0,,,,
233,94080,2,2013,2585,37201225,1,0,,,,2585.0,,,,
234,94080,3,2013,2590,41110485,1,0,,,,2590.0,,,,
235,94085,3,2013,560,15179353,1,1,,,,560.0,408.0,284873.0,,284873.0
236,94089,3,2013,572,16805679,1,0,,,,572.0,,,,
237,94102,1,2013,850,9525503,1,1,,,,850.0,365.0,319274.0,,319274.0
